date,stock,value,G/P
03/03/21,Telefónica,702.62,23.042327289288657
03/03/21,Siemens Gamesa Renewable Energy,303.9,-10.92464626521883
03/03/21,SPDR S&P 500 UCiTS ETF,5467.221981,25.342392184093754
03/03/21,CureVac NV,2380.426884,29.865463996330842
03/03/21,NIO,537.077385,-42.504042504042495
03/03/21,Slack Technologies,67.689864,21.285434995112418
03/03/21,EUR,426.99,100.0
